session_num,file_key,team_id,session_id,participant_id,condition,run_order,timestamp,event_name,ai_enabled,panel_visible,panel_source,panel_edit_mode,context_content,draft_source_type,draft_source_id,draft_source_label
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:19:01.331Z,task_context_panel_toggled,,True,header-edit-button,True,,,,
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:19:01.331Z,task_context_panel_toggled,,False,popover-close,,,,,
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:21:51.847Z,draft_context_promoted,,,,,,insight,cf3731e5-24b9-4c3d-ba04-2165433f3964,Research Report: BGP and Its Security Issues/Features
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:10.794Z,draft_context_promoted,,,,,,message,c36a810d-928b-4cf5-9e49-185d8661d108,AI Reply
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:20.373Z,draft_context_promoted,,,,,,insight,cf3731e5-24b9-4c3d-ba04-2165433f3964,Research Report: BGP and Its Security Issues/Features
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:24.459Z,draft_context_promoted,,,,,,message,c36a810d-928b-4cf5-9e49-185d8661d108,AI Reply
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:32:15.616Z,task_context_panel_toggled,,True,header-edit-button,True,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:34:11.998Z,task_context_saved,,,,,"team goal is to design and implement an AR archery system, involving a physical bow the user can shoot virtual targets with. A microphone will be attached to the bow to allow the user to provide voice commands to the game, and a glove with an IMU and flex sensors will be given to allow the users to ",,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:34:17.290Z,task_context_panel_toggled,,False,popover-close,,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:18.203Z,team_ai_toggle_changed,False,,,,,,,
