session_num,file_key,team_id,session_id,participant_id,condition,run_order,timestamp,event_name,data_source,insight_type,source,has_prompt_override,prompt_archetype,insight_id
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,,AI_ON,AB,2026-03-19T09:20:04.556Z,insight_from_export,export_fallback,document,,,,cf3731e5-24b9-4c3d-ba04-2165433f3964
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:35:01.793Z,insight_generate_requested,timeline_event,summary,slash-command,False,decision-brief,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:35:01.793Z,insight_generate_completed,timeline_event,summary,slash-command,False,decision-brief,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:41:22.819Z,insight_generate_requested,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:41:22.819Z,insight_generate_completed,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:45:07.936Z,insight_generate_requested,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:45:12.989Z,insight_generate_completed,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:38:36.339Z,insight_generate_requested,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:38:41.759Z,insight_generate_completed,timeline_event,suggestion,slash-command,False,pragmatic-advisor,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:39:16.161Z,insight_generate_requested,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:39:22.737Z,insight_generate_completed,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:40:06.196Z,insight_generate_requested,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:40:15.030Z,insight_generate_completed,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:40:20.984Z,insight_generate_requested,timeline_event,suggestion,slash-command,True,pragmatic-advisor,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:40:27.272Z,insight_generate_completed,timeline_event,suggestion,slash-command,True,pragmatic-advisor,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:43:32.105Z,insight_generate_requested,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:43:37.011Z,insight_generate_completed,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:52:39.776Z,insight_generate_requested,timeline_event,document,slash-command,True,research-analyst,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:52:47.668Z,insight_generate_completed,timeline_event,document,slash-command,True,research-analyst,
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:07:02.630Z,insight_from_export,export_fallback,summary,,,,ad3f5bca-212c-41f8-9ac5-dc49272bb88e
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:06:39.182Z,insight_from_export,export_fallback,summary,,,,0577183e-226c-424c-b804-773bf7d7428e
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T08:06:12.920Z,insight_from_export,export_fallback,document,,,,96ab0137-159a-4b3e-aefd-7cd87956b5c6
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T07:30:03.493Z,insight_from_export,export_fallback,suggestion,,,,2ee6aebc-2a84-40fb-b4db-c7f5b550de31
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T07:27:59.571Z,insight_from_export,export_fallback,action,,,,2e71fcc8-28ba-470a-bfd9-019e2e42ec27
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,bcc50e9e-16fe-41e4-83a9-427dc9fea108,study-user-01,AI_ON,AB,2026-03-25T07:26:55.837Z,insight_from_export,export_fallback,document,,,,382be21e-2249-4335-8102-fcac89ebdb42
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T08:05:31.261Z,insight_from_export,export_fallback,document,,,,4c50944b-21c1-4277-8527-2a8e0fa662ff
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T08:04:40.763Z,insight_from_export,export_fallback,document,,,,6c75aae0-a671-4d4d-9321-8c29cf6ff3a6
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:37:12.829Z,insight_from_export,export_fallback,document,,,,31f5a2b9-0420-4b87-b3e6-0a1c5ea37734
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:27:21.126Z,insight_from_export,export_fallback,suggestion,,,,ad478281-4e63-445e-87ac-0423cf85630f
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:26:19.516Z,insight_from_export,export_fallback,action,,,,542cc6b6-3272-456a-944a-c8bbaca140ad
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,session-1774423145554-io7twprp,study-user-02,AI_ON,AB,2026-03-25T07:25:29.045Z,insight_from_export,export_fallback,document,,,,15828b73-4646-4ac1-bace-e6c5e0767da4
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:08:18.193Z,insight_from_export,export_fallback,document,,,,8f54ec71-9347-4673-9162-2724af54d829
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,session-1774423176213-g9a2idqc,study-user-03,AI_ON,AB,2026-03-25T08:05:15.592Z,insight_from_export,export_fallback,document,,,,81fa1e3e-ae49-499b-bc9e-4fe9abfe4245
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:22:29.291Z,insight_from_export,export_fallback,suggestion,,,,efb0e23f-b123-4462-9af0-5f465ed9e1ed
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:21:36.062Z,insight_from_export,export_fallback,document,,,,2813daf6-b4da-4ad5-86bf-9ef6cab187d9
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:20:55.536Z,insight_from_export,export_fallback,action,,,,53da09bc-dfae-498b-83d8-3667dd317687
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:20:28.600Z,insight_from_export,export_fallback,document,,,,c8105164-7d9c-421d-954c-325d52736c22
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:17:06.786Z,insight_from_export,export_fallback,summary,,,,bdfb6168-1192-47b6-88c6-3c78cc27db83
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,bcc50e9e-16fe-41e4-83a9-427dc9fea108,,AI_ON,AB,2026-03-25T08:16:48.517Z,insight_from_export,export_fallback,summary,,,,1d1a6f97-7bbb-4b5a-83aa-fb5ef2f76a37
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T08:04:04.381Z,insight_from_export,export_fallback,document,,,,e81722e1-c3bd-450b-965a-9ae5cca78c99
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T08:01:08.080Z,insight_from_export,export_fallback,suggestion,,,,4dae1fd3-29f0-499f-be4a-3a8e662ee901
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,session-1774510353943-xxpeb11f,study-user-01,AI_ON,AB,2026-03-26T07:55:03.350Z,insight_from_export,export_fallback,action,,,,89525a41-d5d0-4364-afdf-29d422a46533
3,3/2 shanyl/session-study-team-02-timeline.json,study-team-02,session-1774510800830-3fyb8bt0,study-user-02,AI_ON,AB,2026-03-26T08:00:50.842Z,insight_from_export,export_fallback,action,,,,5d1e60b2-11bb-4fff-8c7b-ac1f795ae5f5
