session_num,file_key,team_id,session_id,participant_id,condition,run_order,click_timestamp,event_name,message_id,insight_id,insight_type,insight_title,insight_generated_at,insight_age_seconds,status_at_click,insight_final_status,data_complete
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:20:24.482Z,jump_to_chat_marker,,cf3731e5-24b9-4c3d-ba04-2165433f3964,document,Research Report: BGP and Its Security Issues/Features,2026-03-19T09:20:04.556Z,20,new,new,False
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:20:24.482Z,focus_chat_marker_from_insight,,cf3731e5-24b9-4c3d-ba04-2165433f3964,document,Research Report: BGP and Its Security Issues/Features,2026-03-19T09:20:04.556Z,20,new,new,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:35:58.792Z,focus_insight_from_marker,48a614ea-45af-4fd6-922d-bd83c605d27c,283fdf48-0735-4225-8a7b-559713b7a235,summary,Key Discussion Points,2026-03-19T09:35:00.653Z,58,new,new,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:36:03.316Z,focus_insight_from_marker,e3d21fd6-35ea-4e6b-8702-a0f3f39c74d5,ac8d4312-cf4b-44ea-b191-97d02a864e91,,,,,new,,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:36:26.610Z,focus_insight_from_marker,0f33a214-3482-4932-8184-a136d6902059,2884255e-54a6-4e41-830a-954aae94bc8f,,,,,new,,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:38:11.976Z,focus_insight_from_marker,e8d1395c-975b-4cb6-a86b-f9d22512e767,dfb4c9ed-81cc-4159-936e-4673ae7c00eb,document,Focused Research: Using MQTT to Transmit Data from ESP32 to Laptop,2026-03-19T09:37:58.846Z,13,new,new,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:38:23.459Z,focus_insight_from_marker,e8d1395c-975b-4cb6-a86b-f9d22512e767,dfb4c9ed-81cc-4159-936e-4673ae7c00eb,document,Focused Research: Using MQTT to Transmit Data from ESP32 to Laptop,2026-03-19T09:37:58.846Z,25,new,new,False
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:45:02.167Z,focus_insight_from_marker,68f0ea07-748f-44f4-995f-3d3bc42e2eac,0b884327-8f94-4f64-962f-3ce3457d6f4b,suggestion,*Check Network Latency**,2026-03-19T09:41:22.274Z,220,new,new,False
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:39:22.737Z,focus_insight_from_marker,c65c69a5-d625-405d-bd77-beb20663c2ed,30608ec9-1c74-41c4-8690-0a0b15b08a86,document,Context and Objective,2026-03-19T09:39:18.547Z,4,new,dismissed,False
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:39:42.464Z,focus_insight_from_marker,ad4b43a6-56a3-401a-81f8-c0230fc26ff3,824571a7-377c-46ff-9d48-8b63e88e7b58,suggestion,"*Visit Johor Bahru, Malaysia**",2026-03-19T09:38:37.940Z,65,new,dismissed,False
