session_num,file_key,team_id,session_id,participant_id,condition,run_order,timestamp,event_name,seconds_from_start,minutes_from_start,messages_before,actor_messages_before,sequence_index,participant_seq_index,ai_enabled,panel_visible,panel_source,panel_edit_mode,context_content,draft_source_type,draft_source_id,draft_source_label
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:19:01.331Z,task_context_panel_toggled,101,1.7,0,0,1,1,,True,header-edit-button,True,,,,
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:19:01.331Z,task_context_panel_toggled,101,1.7,0,0,2,2,,False,popover-close,,,,,
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:21:51.847Z,draft_context_promoted,272,4.5,2,2,3,3,,,,,,insight,cf3731e5-24b9-4c3d-ba04-2165433f3964,Research Report: BGP and Its Security Issues/Features
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:10.794Z,draft_context_promoted,351,5.8,5,5,4,4,,,,,,message,c36a810d-928b-4cf5-9e49-185d8661d108,AI Reply
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:20.373Z,draft_context_promoted,360,6.0,5,5,5,5,,,,,,insight,cf3731e5-24b9-4c3d-ba04-2165433f3964,Research Report: BGP and Its Security Issues/Features
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-01-01,AI_ON,AB,2026-03-19T09:23:24.459Z,draft_context_promoted,365,6.1,5,5,6,6,,,,,,message,c36a810d-928b-4cf5-9e49-185d8661d108,AI Reply
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:32:15.616Z,task_context_panel_toggled,234,3.9,0,0,1,1,,True,header-edit-button,True,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:34:11.998Z,task_context_saved,351,5.8,0,0,2,2,,,,,"team goal is to design and implement an AR archery system, involving a physical bow the user can shoot virtual targets with. A microphone will be attached to the bow to allow the user to provide voice commands to the game, and a glove with an IMU and flex sensors will be given to allow the users to ",,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:34:17.290Z,task_context_panel_toggled,356,5.9,0,0,3,3,,False,popover-close,,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:18.203Z,team_ai_toggle_changed,537,8.9,3,3,4,4,False,,,,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:18.203Z,team_ai_toggle_changed,537,8.9,3,3,5,5,True,,,,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:29.226Z,task_context_panel_toggled,548,9.1,3,3,6,6,,True,header-edit-button,True,,,,
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,session-1773912267195-y6grf9u3,study-user-03-01,AI_ON,AB,2026-03-19T09:37:29.226Z,task_context_panel_toggled,548,9.1,3,3,7,7,,False,popover-close,,,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:32:00.999Z,team_ai_toggle_changed,4,0.1,0,0,1,1,True,,,,,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:36:53.620Z,task_context_panel_toggled,297,5.0,0,0,2,2,,True,header-edit-button,True,,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:43.199Z,task_context_saved,346,5.8,0,0,3,3,,,,,we are planning a weekend trip. it's got 2 people. it should be of middling budget - maybe $200 for the whole trip.,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:43.199Z,task_context_panel_toggled,346,5.8,0,0,4,4,,False,popover-close,,,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:53.970Z,task_context_panel_toggled,357,6.0,0,0,5,5,,True,header-edit-button,True,,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:59.951Z,task_context_saved,363,6.0,0,0,6,6,,,,,we are planning a weekend trip from Singapore. it's got 2 people. it should be of middling budget - maybe $200 for the whole trip.,,,
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,study-user-04-01,AI_ON,BA,2026-03-19T09:37:59.951Z,task_context_panel_toggled,363,6.0,0,0,7,7,,False,popover-close,,,,,
