session_num,file_key,team_id,condition,run_order,insight_id,insight_type,insight_title,insight_created_at,final_status,tags,has_related_messages,related_message_count,generated_by,status_transitions
1,1/1 jc/session-study-team-01.json,study-team-01,AI_ON,AB,cf3731e5-24b9-4c3d-ba04-2165433f3964,document,Research Report: BGP and Its Security Issues/Features,2026-03-19T09:20:04.556Z,new,"['auto-generated', 'research', 'gpt-4o-2024-11-20']",True,1,auto,
1,1/1 jc/session-study-team-01.json,study-team-01,AI_ON,AB,44973049-430b-4b59-a774-db9ad0501d0d,suggestion,Demo: Help Card,2026-03-18T18:51:01.865Z,new,"['onboarding', 'demo', 'suggestion']",False,0,,
1,1/1 jc/session-study-team-01.json,study-team-01,AI_ON,AB,63d60479-e20b-45f9-9a87-d1ceb1402f9c,action,Demo: Action Item,2026-03-18T18:51:01.860Z,new,"['onboarding', 'demo', 'action']",False,0,,
1,1/1 jc/session-study-team-01.json,study-team-01,AI_ON,AB,9b502727-38e8-4827-a0cc-2231070f12b9,document,Demo: Research,2026-03-18T18:51:01.854Z,new,"['onboarding', 'demo', 'document']",False,0,,
1,1/1 jc/session-study-team-01.json,study-team-01,AI_ON,AB,dfdfc063-f51a-4d5c-8381-f9b25b33b864,summary,Demo: Conversation Snapshot,2026-03-18T18:51:01.848Z,new,"['onboarding', 'demo', 'summary']",False,0,,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,f1cc9a69-a5ab-4d38-8ecc-6375422daeff,suggestion,*Enable Logging in MQTT Broker**,2026-03-19T09:45:08.669Z,new,"['auto-generated', 'help', 'suggestion', 'gpt-4o-2024-11-20']",True,1,auto,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,0b884327-8f94-4f64-962f-3ce3457d6f4b,suggestion,*Check Network Latency**,2026-03-19T09:41:22.274Z,new,"['auto-generated', 'help', 'suggestion', 'gpt-4o-2024-11-20']",True,1,auto,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,dfb4c9ed-81cc-4159-936e-4673ae7c00eb,document,Focused Research: Using MQTT to Transmit Data from ESP32 to Laptop,2026-03-19T09:37:58.846Z,new,"['auto-generated', 'research', 'gpt-4o-2024-11-20']",True,1,auto,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,283fdf48-0735-4225-8a7b-559713b7a235,summary,Key Discussion Points,2026-03-19T09:35:00.653Z,new,"['auto-generated', 'summary', 'gpt-4o-2024-11-20']",True,1,auto,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,8c877ea2-3238-4342-be59-ab7686698eab,suggestion,Demo: Help Card,2026-03-18T18:51:01.956Z,new,"['onboarding', 'demo', 'suggestion']",False,0,,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,41053a86-fbd5-497c-9466-80bc41ec63a6,action,Demo: Action Item,2026-03-18T18:51:01.951Z,new,"['onboarding', 'demo', 'action']",False,0,,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,2884255e-54a6-4e41-830a-954aae94bc8f,document,Demo: Research,2026-03-18T18:51:01.945Z,new,"['onboarding', 'demo', 'document']",False,0,,
1,1/3 sam/session-study-team-03.json,study-team-03,AI_ON,AB,ac8d4312-cf4b-44ea-b191-97d02a864e91,summary,Demo: Conversation Snapshot,2026-03-18T18:51:01.939Z,new,"['onboarding', 'demo', 'summary']",False,0,,
1,1/4 ai on/session-study-team-04.json,study-team-04,AI_ON,BA,08fd5ea5-9bfa-4b76-a239-887ce0cf310f,document,Here’s a detailed comparison of bus operators and train services for your trip from Singapore to...,2026-03-19T09:52:43.461Z,accepted,"['auto-generated', 'research', 'gpt-4o-2024-11-20']",True,1,auto,2026-03-19T09:55:21:new->accepted
